,DebugRVA,DebugSize,Dll,ExportRVA,ExportSize,IATRVA,ImageVersion,LinkerVersion,NumberOfSections,OSVersion,ResSize,StackReserveSize,filename,clean
sample0,6768,28,1344,6688,80,0,6,9,3,6,1040,262144,samples/cleanfiles/KBDMAC.DLL,1
sample1,81632,56,320,77984,164,4096,6,9,4,6,4792,262144,samples/cleanfiles/comrepl.dll,1
sample10,4272,28,1344,16176,808,4096,6,9,4,6,976,262144,samples/cleanfiles/vdmdbg.dll,1
sample100,24880,28,448,32976,221,24576,500,10,6,4,952,1048576,samples/cleanfiles/VBoxHook.dll,1
sample1000,4224,28,320,7552,88,4096,6,9,4,6,1048,262144,samples/cleanfiles/sysprepMCE.dll,1
sample1001,4352,28,320,282192,121124,435072,10,11,5,6,1008,1048576,samples/cleanfiles/msvcp110.dll,1
sample1002,311772,56,16704,4352,194,323584,6,11,5,6,79408,262144,samples/cleanfiles/dxtmsft.dll,1
sample1003,25432,56,33088,0,0,4096,6,9,4,6,2104,262144,samples/cleanfiles/ipconfig.exe,1
sample1004,4592,28,320,145120,164,4096,6,9,4,6,1032,262144,samples/cleanfiles/itircl.dll,1
sample1005,21216,56,320,19444,189,4096,6,9,4,6,1032,262144,samples/cleanfiles/elsTrans.dll,1
sample1006,4816,28,320,87728,345,4096,6,9,4,6,1064,262144,samples/cleanfiles/wudriver.dll,1
sample1007,21036,56,320,18592,127,4096,6,9,4,6,115128,262144,samples/cleanfiles/mydocs.dll,1
sample1008,7968,28,1344,7872,82,0,6,9,3,6,1048,262144,samples/cleanfiles/KBDINUK2.DLL,1
sample1009,4544,28,33088,0,0,4096,6,9,4,6,2312,262144,samples/cleanfiles/chkntfs.exe,1
sample101,4304,28,320,9296,106,4096,6,9,4,6,32360,262144,samples/cleanfiles/tpmcompc.dll,1
sample1010,4960,28,320,81744,111,4096,6,9,4,6,3272,262144,samples/cleanfiles/AxInstSv.dll,1
sample1011,7824,28,1344,7744,79,0,6,9,3,6,1016,262144,samples/cleanfiles/KBDPL.DLL,1
sample1012,4304,28,1344,16048,164,4096,6,9,4,6,1336,262144,samples/cleanfiles/memdiag.dll,1
sample1013,4560,28,320,41664,261,4096,1,9,4,6,46264,262144,samples/cleanfiles/eappgnui.dll,1
sample1014,399888,56,320,5908,105,4096,6,9,4,6,1367088,262144,samples/cleanfiles/authui.dll,1
sample1015,4832,28,320,134384,343,4096,6,9,4,6,9112,262144,samples/cleanfiles/RstrtMgr.dll,1
sample1016,4304,28,320,8400,796,4096,6,9,4,6,1048,262144,samples/cleanfiles/softpub.dll,1
sample1017,4832,28,320,36640,104,4096,6,9,4,6,81800,262144,samples/cleanfiles/gcdef.dll,1
sample1018,7168,28,1344,7088,79,0,6,9,3,6,1016,262144,samples/cleanfiles/KBDNO.DLL,1
sample1019,6704,28,1344,6624,80,0,6,9,3,6,1032,262144,samples/cleanfiles/KBDMON.DLL,1
sample102,9868,56,320,0,0,4096,6,9,4,6,1104,262144,samples/cleanfiles/IconCodecService.dll,1
sample1020,359068,56,320,352908,165,4096,21315,9,4,6,1064,262144,samples/cleanfiles/wmdrmnet.dll,1
sample1021,26912,56,320,24312,84,4096,6,9,4,6,992,262144,samples/cleanfiles/mtxlegih.dll,1
sample1022,4128,28,320,991536,1133,1057384,6,10,5,6,1016,262144,samples/cleanfiles/d3d10.dll,1
sample1023,4400,28,320,31440,549,4096,6,9,4,6,1056,262144,samples/cleanfiles/wiarpc.dll,1
sample1024,131096,56,320,126828,193,4096,6,9,4,6,4040,262144,samples/cleanfiles/dinput8.dll,1
sample1025,7440,28,1344,7344,81,0,6,9,3,6,1040,262144,samples/cleanfiles/KBDSW09.DLL,1
sample1026,4416,28,320,250208,168,4096,6,9,4,6,1064,262144,samples/cleanfiles/mfh264enc.dll,1
sample1027,165108,56,320,161060,165,4096,21315,9,4,6,1408,262144,samples/cleanfiles/MSAC3ENC.DLL,1
sample1028,207696,56,320,33112,164,4096,6,9,4,6,3616,262144,samples/cleanfiles/iTVData.dll,1
sample1029,0,0,1344,0,0,0,6,9,1,6,6213128,262144,samples/cleanfiles/CardGames.dll,1
sample103,4960,28,33088,0,0,4096,6,9,4,6,28632,262144,samples/cleanfiles/Dism.exe,1
sample1030,99612,56,33088,11132,56,4096,6,9,4,6,38072,1048576,samples/cleanfiles/wscript.exe,1
sample1031,296208,56,320,4672,19336,4096,6,9,4,6,984,262144,samples/cleanfiles/gdi32.dll,1
sample1032,69520,56,320,68820,107,4096,6,9,4,6,1000,262144,samples/cleanfiles/fontsub.dll,1
sample1033,1635456,56,16704,15924,9595,1720320,6,11,8,6,179776,262144,samples/cleanfiles/wininet.dll,1
sample1034,0,0,1344,0,0,0,6,9,1,6,12624744,262144,samples/cleanfiles/wmploc.DLL,1
sample1035,4608,28,33088,0,0,4096,6,9,4,6,2152,262144,samples/cleanfiles/eventcreate.exe,1
sample1036,4512,28,33088,0,0,4096,6,9,4,6,2096,262144,samples/cleanfiles/NETSTAT.EXE,1
sample1037,4640,28,33088,39344,212,4096,6,9,4,6,24640,262144,samples/cleanfiles/PrintBrmUi.exe,1
sample1038,6304,28,33088,0,0,4096,6,9,5,6,941896,1048576,samples/cleanfiles/WinSAT.exe,1
sample1039,4720,28,320,53040,163,4096,6,9,4,6,2808,262144,samples/cleanfiles/Pnrphc.dll,1
sample104,4096,28,1344,4128,308,0,6,9,2,6,1016,262144,samples/cleanfiles/normaliz.dll,1
sample1040,4400,28,320,17888,107,4096,6,9,4,6,1040,262144,samples/cleanfiles/wscisvif.dll,1
sample1042,4592,28,320,30560,275,4096,6,9,4,6,1328,262144,samples/cleanfiles/htui.dll,1
sample1043,4688,28,33088,0,0,4096,6,9,4,6,4864,262144,samples/cleanfiles/sdchange.exe,1
sample1044,6704,28,1344,6624,80,0,6,9,3,6,1064,262144,samples/cleanfiles/KBDTH2.DLL,1
sample1045,4400,28,320,37024,57,4096,0,8,4,4,912,1048576,samples/cleanfiles/mswdat10.dll,1
sample1046,4928,28,320,582720,162,4096,6,9,4,6,189680,262144,samples/cleanfiles/tapi3.dll,1
sample1047,5104,28,320,1529680,130,4096,6,9,4,6,1104,262144,samples/cleanfiles/xpsservices.dll,1
sample1048,4624,28,33088,0,0,4096,6,9,4,6,1344,262144,samples/cleanfiles/CertEnrollCtrl.exe,1
sample1049,578028,56,320,153172,112,4096,6,9,4,6,1280,262144,samples/cleanfiles/IKEEXT.DLL,1
sample105,4240,28,320,12528,72,4096,6,9,4,6,1448,262144,samples/cleanfiles/msg711.acm,1
sample1050,4448,28,320,27072,165,4096,6,9,4,6,1032,262144,samples/cleanfiles/profprov.dll,1
sample1051,163040,56,320,4892,5017,4096,6,9,4,6,16008,262144,samples/cleanfiles/winmm.dll,1
sample1052,4160,28,320,139856,55,172872,6,10,5,6,50448,262144,samples/cleanfiles/vfluapriv.dll,1
sample1053,6896,28,1344,6800,82,0,6,9,3,6,1032,262144,samples/cleanfiles/KBDTURME.DLL,1
sample1054,4816,28,320,140352,515,4096,6,9,4,6,1157504,262144,samples/cleanfiles/connect.dll,1
sample1055,4752,28,320,93584,164,4096,6,9,4,6,3448,262144,samples/cleanfiles/sdshext.dll,1
sample1056,4528,28,33088,0,0,4096,6,9,4,6,2008,262144,samples/cleanfiles/runas.exe,1
sample1057,60000,56,320,4916,148,4096,6,9,4,6,779784,262144,samples/cleanfiles/FXSST.dll,1
sample1058,4176,28,320,699968,111,705288,6,10,6,6,107736,262144,samples/cleanfiles/FntCache.dll,1
sample1059,4880,28,33088,0,0,4096,6,9,4,6,2096,262144,samples/cleanfiles/nltest.exe,1
sample106,6752,28,1344,6672,79,0,6,9,3,6,1016,262144,samples/cleanfiles/KBDIT.DLL,1
sample1060,4432,28,33088,0,0,4096,6,9,4,6,2088,262144,samples/cleanfiles/wpnpinst.exe,1
sample1061,4736,28,320,48624,163,4096,6,9,4,6,12504,262144,samples/cleanfiles/radarrs.dll,1
sample1062,652024,56,320,23540,288,4096,6,9,4,6,1598720,262144,samples/cleanfiles/wpdshext.dll,1
sample1063,235820,56,320,227964,819,4096,6,9,4,6,128048,262144,samples/cleanfiles/rastls.dll,1
sample1064,0,0,1344,0,0,0,10,11,1,6,36768,1048576,samples/cleanfiles/mfc110kor.dll,1
sample1065,0,0,1344,0,0,0,6,9,1,6,3330360,262144,samples/cleanfiles/NlsLexicons0018.dll,1
sample1066,4800,28,320,31216,103,4096,6,9,4,6,1040,262144,samples/cleanfiles/cnvfat.dll,1
sample1067,0,0,1344,0,0,0,6,9,1,6,668512,262144,samples/cleanfiles/WFSR.dll,1
sample1068,4976,28,320,119680,77,4096,6,9,4,6,1304,262144,samples/cleanfiles/p2pnetsh.dll,1
sample1069,221976,56,320,5188,391,4096,6,9,5,6,176768,262144,samples/cleanfiles/cscui.dll,1
sample1070,4096,28,1344,4288,701,0,6,9,3,6,1008,262144,samples/cleanfiles/api-ms-win-core-libraryloader-l1-1-0.dll,1
sample1071,1271644,56,320,5844,39907,4096,6,9,5,6,1304,262144,samples/cleanfiles/Query.dll,1
sample1072,421004,56,320,81496,147,4096,6,9,4,6,42640,262144,samples/cleanfiles/iphlpsvc.dll,1
sample1073,4480,28,320,1197104,190,4096,6,9,6,6,1088,262144,samples/cleanfiles/WMSPDMOE.DLL,1
sample1074,4288,28,320,26784,190,4096,6,9,5,6,1352,262144,samples/cleanfiles/sxproxy.dll,1
sample1075,37840,56,320,94400,241,36864,10,11,5,6,1016,1048576,samples/cleanfiles/mfcm110ud.dll,1
sample1076,4416,28,320,14992,77,4096,6,9,4,6,1336,262144,samples/cleanfiles/wshelper.dll,1
sample1077,21592,56,320,19296,1129,4096,6,9,4,6,1008,262144,samples/cleanfiles/snmpapi.dll,1
sample1078,57680,56,320,23372,111,4096,6,9,4,6,2032,262144,samples/cleanfiles/aelupsvc.dll,1
sample1079,0,0,1344,0,0,0,6,9,1,6,107528,262144,samples/cleanfiles/tapiui.dll,1
sample108,4512,28,320,43328,106,4096,6,9,4,6,992,262144,samples/cleanfiles/IDStore.dll,1
sample1080,4096,28,1344,4256,185,0,6,9,3,6,1008,262144,samples/cleanfiles/api-ms-win-core-rtlsupport-l1-1-0.dll,1
sample1081,27476,56,320,7528,161,4096,6,9,4,6,1016,262144,samples/cleanfiles/pcadm.dll,1
sample1082,4272,28,320,24352,115,4096,6,9,4,6,6250400,262144,samples/cleanfiles/DDORes.dll,1
sample1083,187484,56,320,11088,164,4096,6,9,4,6,2056,262144,samples/cleanfiles/mssphtb.dll,1
sample1084,7008,28,1344,6912,82,0,6,9,3,6,1032,262144,samples/cleanfiles/KBDINDEV.DLL,1
sample1085,4416,28,320,18816,110,4096,6,9,4,6,2152,262144,samples/cleanfiles/icmui.dll,1
sample1086,6712,56,1344,4096,2614,0,6,9,2,6,1000,262144,samples/cleanfiles/wmi.dll,1
sample1087,193484,56,320,6692,32808,4096,6,9,4,6,1040,262144,samples/cleanfiles/framedynos.dll,1
sample1088,4400,28,320,20608,2047,4096,6,9,4,6,1000,262144,samples/cleanfiles/ureg.dll,1
sample1089,4528,28,320,1957776,79,4096,6,9,4,6,1088,262144,samples/cleanfiles/NlsData0018.dll,1
sample109,4656,28,33088,0,0,4096,6,9,4,6,1696,524288,samples/cleanfiles/net.exe,1
sample1090,5024,28,320,404592,168,4096,6,9,4,6,1048,262144,samples/cleanfiles/wlanmsm.dll,1
sample1091,5424,28,320,258912,171,4096,6,9,5,6,686088,262144,samples/cleanfiles/wcnwiz.dll,1
sample1092,255072,56,320,5920,1839,4096,6,9,4,6,1752,262144,samples/cleanfiles/polstore.dll,1
sample1093,5200,28,16704,300864,456,327680,6,11,6,6,1264,262144,samples/cleanfiles/iedkcs32.dll,1
sample1094,72124,56,448,4800,1852,4096,6,9,5,6,5592,262144,samples/cleanfiles/userenv.dll,1
sample1095,4832,28,320,161104,164,4096,6,9,4,6,3152,262144,samples/cleanfiles/L2SecHC.dll,1
sample1096,100752,56,320,93880,1916,4096,21315,9,4,6,1312,262144,samples/cleanfiles/sppc.dll,1
sample1097,4688,28,33088,23520,1580,4096,6,9,4,6,91024,262144,samples/cleanfiles/fvenotify.exe,1
sample1098,161092,56,320,158880,189,4096,6,9,4,6,1096,262144,samples/cleanfiles/MPG4DECD.DLL,1
sample1099,21812,56,320,10452,120,4096,6,9,4,6,1072,262144,samples/cleanfiles/pstorsvc.dll,1
sample11,4912,28,320,155840,110,4096,6,9,4,6,21408,262144,samples/cleanfiles/wwansvc.dll,1
sample110,244684,56,320,8392,223,4096,6,9,5,6,4984,262144,samples/cleanfiles/upnphost.dll,1
sample1100,4384,28,320,22720,701,4096,6,9,4,6,992,262144,samples/cleanfiles/bthpanapi.dll,1
sample1101,308200,56,320,16132,1240,4096,6,9,4,6,1016,262144,samples/cleanfiles/drvstore.dll,1
sample1102,7488,28,1344,7408,80,0,6,9,3,6,1016,262144,samples/cleanfiles/KBDYBA.DLL,1
