,Unnamed: 0,DebugRVA,DebugSize,Dll,ExportRVA,ExportSize,IATRVA,ImageVersion,LinkerVersion,NumberOfSections,OSVersion,ResSize,StackReserveSize,filename,clean
0,sample0,0,0,0,0,0,20480,5,2,4,4,0,1048576,samples/zippedMalware/9038255c979ce757fc2ad3ac63bca6ba,0
1,sample1,0,0,0,0,0,0,4,5,3,4,0,1048576,samples/zippedMalware/f8003442cb9d2674a2d5ae956bef6746,0
2,sample10,0,0,0,0,0,0,4,2,3,4,0,1048576,samples/zippedMalware/a8cc209e8e27944c546f1013419fe88d,0
3,sample100,0,0,0,0,0,0,0,6,3,4,0,1048576,samples/zippedMalware/de80119e186e7acc50ef392a14a53dda,0
4,sample101,0,0,33024,0,0,12288,0,10,4,5,195128,1048576,samples/zippedMalware/e9decd6b-d1f2-11e6-b7e9-80e65024849a.file,0
5,sample102,0,0,0,0,0,16384,5,7,4,4,0,1048576,samples/zippedMalware/ce914b5efc34c66a6bf7af98a53eed04,0
6,sample103,0,0,0,0,0,0,5,2,3,4,0,1048576,samples/zippedMalware/9dd3e4f68937da1effbaa43b3c9eb1ef,0
7,sample104,0,0,0,0,0,0,5,7,3,4,0,1048576,samples/zippedMalware/ade4caeb76159fab1366186a06c6919f,0
8,sample105,0,0,0,0,0,0,5,5,3,4,0,1048576,samples/zippedMalware/798dd12f3a62fcf4360d5eaf637d7a0a,0
9,sample106,0,0,0,0,0,0,5,2,3,4,0,1048576,samples/zippedMalware/092181cf7941c0199134841bfea01d7b,0
10,sample107,0,0,0,0,0,0,5,2,3,4,0,1048576,samples/zippedMalware/fef0eca8cedfe8ef15e0e0d334493e5e,0
11,sample108,0,0,0,0,0,0,5,2,3,4,0,1048576,samples/zippedMalware/8b433dc7d4a8d733b62f58bb624a6762,0
12,sample109,345888,28,0,0,0,344064,0,7,4,4,877720,1048576,samples/zippedMalware/a2e885f5-d63e-11e6-b62a-80e65024849a.file,0
13,sample11,0,0,0,0,0,20480,5,6,4,4,0,1048576,samples/zippedMalware/c61c9e6c7b74fd4bae0927f8b3b67a8f,0
14,sample110,0,0,0,0,0,20480,4,7,4,4,0,1048576,samples/zippedMalware/cc7eee7d185e2a212e4d8262073cc7f7,0
15,sample111,0,0,0,0,0,0,5,7,3,4,0,1048576,samples/zippedMalware/a5856862008fe194200c43ed65fa27ff,0
16,sample112,0,0,0,0,0,20480,4,4,4,4,0,1048576,samples/zippedMalware/c7cb9678e7661a2597606680fd7512de,0
17,sample113,0,0,0,0,0,0,4,4,3,4,0,1048576,samples/zippedMalware/f3f8bb06e0035d034fd20e88c7268abc,0
18,sample114,0,0,0,0,0,20480,5,7,4,4,0,1048576,samples/zippedMalware/f63191aa6f533e10d75abb87af8553ef,0
19,sample115,53248,28,320,0,0,49820,0,14,8,6,180948,1048576,samples/zippedMalware/8a61f2eb-d521-11e6-986c-80e65024849a.file,0
20,sample116,0,0,0,0,0,88872,0,2,4,4,0,1048576,samples/zippedMalware/f4ef9b1c-db13-11e6-a66d-80e65024849a.file,0
21,sample117,0,0,0,0,0,20480,5,5,4,4,0,1048576,samples/zippedMalware/522c7c7ac4bafcfa5862bc782b020cff,0
22,sample118,0,0,0,0,0,0,4,4,3,4,0,1048576,samples/zippedMalware/e932d80985dfd1992edb9b67157d7db4,0
23,sample119,0,0,0,0,0,20480,0,7,4,4,0,1048576,samples/zippedMalware/a6e6c00c2f1bafcd514d51ecababa2d7,0
24,sample12,0,0,0,0,0,0,0,5,3,4,0,1048576,samples/zippedMalware/f07515494525b9e6a89365d68cd596a9,0
25,sample120,0,0,0,0,0,16384,4,6,4,4,0,1048576,samples/zippedMalware/c6a36cac2913721e310d920640990f01,0
26,sample121,0,0,0,0,0,20480,4,7,4,4,0,1048576,samples/zippedMalware/56885425f2b90b425c9c02834ceb59f8,0
27,sample122,0,0,0,0,0,16384,5,7,4,4,0,1048576,samples/zippedMalware/f432a05341ff94f059c454f98bbd0e9b,0
28,sample123,0,0,0,0,0,0,4,4,3,4,0,1048576,samples/zippedMalware/98532509752b3a2a1b408417848fdfb7,0
29,sample124,0,0,0,0,0,0,5,5,3,4,0,1048576,samples/zippedMalware/153513a47b0ea01b91322571fee214aa,0
30,sample125,0,0,0,0,0,0,5,2,3,4,0,1048576,samples/zippedMalware/79af26fa77fda05f1537ceb55a07813a,0
